"url","price","institution","title","skills you will gain","css-1qajodb","ratings","reviews","level type duration"
"https://www.coursera.org/learn/indigenous-canada","Free","University of Alberta","Indigenous Canada","Business Psychology, Communication, History, Entrepreneurship, Research and Design, Culture, Leadership and Management, Marketing, Storytelling, Theoretical Computer Science, Creativity, Art, Algorithms, Finance","Skills you'll gain:","4.8","(18.8k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/financial-markets-global","Free","Yale University","Financial Markets","Business Psychology, Data Analysis, Market (Economics), Corporate Accouting, Probability & Statistics, Strategy and Operations, Entrepreneurship, Financial Analysis, Risk, Financial Markets, Risk Management, Accounting, Regulations and Compliance, Investment Management, Business Analysis, Generally Accepted Accounting Principles (GAAP), Economics, Finance, Statistical Tests, Business Process Management","Skills you'll gain:","4.8","(22.5k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/the-science-of-well-being","Free","Yale University","The Science of Well-Being","Gratitude, Meditation, Planning, Mindfulness","Skills you'll gain:","4.9","(33.4k reviews)","Mixed · Course · 1-3 Months",""
"https://www.coursera.org/learn/sciwrite","Free","Stanford University","Writing in the Sciences","Writing, Communication","Skills you'll gain:","4.9","(6.6k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/introduction-psychology","Free","Yale University","Introduction to Psychology","Business Psychology, Psychology, Psychologies, Behavior","Skills you'll gain:","4.9","(23.3k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/stanford-statistics","Free","Stanford University","Introduction to Statistics","Basic Descriptive Statistics, Hypothesis, Data Analysis, Correlation And Dependence, Experiment, Hypothesis Testing, Analysis, Probability, Probability & Statistics, Bayesian Statistics, Inference, Data Visualization, Statistical Analysis, Plot (Graphics), Regression, Statistical Inference, Econometrics, Statistical Hypothesis Testing, Markov Model, Statistical Tests, General Statistics, Machine Learning, Probability Distribution","Skills you'll gain:","4.5","(1.3k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/food-and-health","Free","Stanford University","Stanford Introduction to Food and Health","Label, Choice, Nutrition","Skills you'll gain:","4.7","(25.8k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/agile-atlassian-jira","Free","Atlassian","Agile with Atlassian Jira","Software Engineering, Software, Project, Operations Management, Supply Chain and Logistics, Strategy and Operations, Agile Management, Scrum (Software Development), Project Management, Agile Software Development, Leadership and Management","Skills you'll gain:","4.7","(6.5k reviews)","Beginner · Course · 1-4 Weeks",""
"https://www.coursera.org/learn/brand","Free","University of London","Brand Management: Aligning Business, Brand and Behaviour","Corporate Accouting, Customer Success, Strategy and Operations, Customer Relationship Management, Experience, Stock, Employment, Brand, Brand Management, Sales, Finance, Leadership and Management, Marketing","Skills you'll gain:","4.9","(5.9k reviews)","Beginner · Course · 1-3 Months",""
"https://www.coursera.org/learn/negotiation-skills","Free","University of Michigan","Successful Negotiation: Essential Strategies and Skills","Communication, Negotiation, Marketing, Sales","Skills you'll gain:","4.8","(16.8k reviews)","Mixed · Course · 1-3 Months",""
