Date,Open,High,Low,Close,Adj Close,Volume,Company
07-08-2017,100.919998,101.540001,100.589996,101.489998,98.273056,7047100,VISA
08-08-2017,101.5,101.720001,100.93,101.279999,98.069717,6283700,VISA
09-08-2017,100.760002,101.300003,100.599998,100.970001,97.769531,6902100,VISA
10-08-2017,100.540001,100.879997,99.43,99.489998,96.336441,8560800,VISA
11-08-2017,99.550003,100.300003,99.529999,100.089996,96.917427,5268200,VISA
14-08-2017,100.980003,102.110001,100.75,101.870003,98.640991,5657600,VISA
15-08-2017,102.360001,102.779999,101.970001,102.629997,99.376915,5386000,VISA
16-08-2017,102.760002,103.93,102.639999,103.32,100.206139,13408300,VISA
17-08-2017,103.330002,103.529999,102.160004,102.160004,99.0811,7381600,VISA
18-08-2017,102.080002,103.089996,101.940002,102.510002,99.420555,5670900,VISA
21-08-2017,102.620003,103.349998,102.330002,103.220001,100.109154,5395000,VISA
22-08-2017,103.440002,104.199997,103.139999,104.07,100.933525,5481000,VISA
23-08-2017,103.769997,103.970001,102.989998,103.18,100.070351,5057200,VISA
24-08-2017,103.32,103.5,102.639999,103.220001,100.109154,4082300,VISA
25-08-2017,103.650002,103.879997,103.160004,103.349998,100.235237,4467400,VISA
28-08-2017,103.650002,103.830002,103.260002,103.779999,100.65229,3919900,VISA
29-08-2017,102.919998,104.07,102.639999,103.769997,100.642586,7135300,VISA
30-08-2017,103.699997,104,103.519997,103.730003,100.60379,8712700,VISA
31-08-2017,104.059998,104.190002,103.029999,103.519997,100.400101,13766000,VISA
01-09-2017,104.040001,104.080002,103.440002,103.900002,100.768669,4466800,VISA
05-09-2017,103.400002,103.459999,102.260002,103.010002,99.905479,6337500,VISA
06-09-2017,103.339996,103.75,103.099998,103.18,100.070351,6372200,VISA
07-09-2017,103.709999,105.440002,103.610001,104.559998,101.408768,6508600,VISA
08-09-2017,104.330002,104.769997,104.059998,104.43,101.282715,5787200,VISA
11-09-2017,105.480003,106.150002,105.150002,106.150002,102.950859,6956000,VISA
12-09-2017,106.639999,106.639999,105.760002,106.209999,103.009056,5212400,VISA
13-09-2017,106.260002,106.260002,105.239998,105.830002,102.640495,6215700,VISA
14-09-2017,105.5,106.839996,105.5,106.080002,102.882988,8154000,VISA
15-09-2017,105.739998,106.139999,104.949997,105.300003,102.126472,12622900,VISA
18-09-2017,105.349998,105.519997,104.620003,104.830002,101.670639,7330300,VISA
19-09-2017,105.129997,105.93,104.830002,105.410004,102.23317,9754400,VISA
20-09-2017,105.5,105.769997,104.459999,104.970001,101.806419,8198600,VISA
21-09-2017,105,105.610001,104.650002,105.309998,102.136169,4777600,VISA
22-09-2017,105.209999,105.68,105.059998,105.559998,102.378632,4959400,VISA
25-09-2017,105.5,105.650002,102.75,103.019997,99.915184,9395300,VISA
26-09-2017,103.110001,104.019997,102.879997,102.940002,99.837578,6263600,VISA
27-09-2017,103.07,104.120003,102.900002,103.889999,100.758972,8337400,VISA
28-09-2017,103.75,104.980003,103.739998,104.580002,101.428169,5947800,VISA
29-09-2017,104.75,105.43,104.690002,105.239998,102.068283,7676300,VISA
02-10-2017,105.540001,105.989998,105.099998,105.440002,102.262245,4885600,VISA
03-10-2017,105.650002,105.900002,105.290001,105.589996,102.40773,4411100,VISA
04-10-2017,105.709999,105.739998,104.900002,105.309998,102.136169,4146800,VISA
05-10-2017,105.599998,106.25,105.150002,106.239998,103.038147,4396100,VISA
06-10-2017,106.290001,106.959999,105.870003,106.730003,103.513367,4587000,VISA
09-10-2017,106.599998,107.650002,106.540001,107.010002,103.784943,4787000,VISA
10-10-2017,107.580002,107.599998,106.82,107.309998,104.075897,4015600,VISA
11-10-2017,107.699997,108.589996,107.599998,108.440002,105.171837,6473100,VISA
12-10-2017,108.5,108.709999,107.900002,108.110001,104.851776,6496100,VISA
13-10-2017,108.5,109.260002,108.400002,108.660004,105.385208,5154600,VISA
16-10-2017,108.790001,109.050003,107.160004,108.300003,105.036049,5552200,VISA
17-10-2017,108.25,108.419998,107.300003,107.540001,104.298965,5979400,VISA
18-10-2017,107.620003,108,107.459999,107.800003,104.551125,4817300,VISA
19-10-2017,107.269997,107.779999,106.900002,107.019997,103.794632,10840200,VISA
20-10-2017,107.699997,107.699997,106.970001,107.550003,104.308678,7848900,VISA
23-10-2017,108.050003,108.230003,107.099998,107.529999,104.289261,6316700,VISA
24-10-2017,107.559998,108.639999,107.18,108.410004,105.142761,10511200,VISA
25-10-2017,109.410004,110.610001,108,109.489998,106.190186,13261300,VISA
